"Participant_A" "Participant_B"
1587 6283
1898 1583
2115 2100
2275 0
2443 5695
2495 0
2532 0
2420 9340
2325 2808
2043 0
1759 5610
1540 77
1230 0
878 8101
611 85
337 0
150 0
55 5429
218 1098
786 2078
1820 0
2676 0
3026 0
3571 0
4264 6908
4691 0
4658 66
4406 4586
3972 0
3476 4859
2872 0
2201 0
1515 0
1287 10281
1777 0
2299 6422
2751 0
3001 0
3028 10301
3641 0
3305 0
2537 10986
1749 6087
1430 0
1002 4783
572 0
272 3671
60 0
85 87
178 4907
200 82
402 7443
817 4361
1340 0
1589 0
1588 0
1157 0
661 0
529 15333
660 0
727 0
551 0
212 0
70 10046
89 0
214 4371
366 770
348 0
285 3576
304 0
310 0
326 491
512 464
863 366
938 251
881 0
907 0
842 2728
643 0
311 0
68 0
78 0
123 0
64 0
1 6669
0 0
0 23
0 1352
0 1949
0 2259
0 3494
0 0
0 2301
0 2213
0 1798
0 790
0 0
0 0
0 0
1 0
0 0
0 0
0 0
0 14899
1 0
10 9969
0 10605
0 0
0 5554
0 5145
9 0
8 0
1 9233
1 0
0 8322
0 2058
0 0
0 923
0 0
14 0
76 0
380 0
965 0
2104 0
2568 11060
2628 0
2356 4059
1866 3039
1678 0
1843 6506
1888 0
2268 5178
1922 0
1705 0
1582 7846
1381 0
1067 5224
727 0
361 0
24 0
11 6988
0 0
4 2368
61 0
91 479
299 0
533 0
290 5097
37 0
0 1061
1 0
97 0
189 4244
20 0
0 0
3 0
0 0
0 4880
0 2791
0 0
0 0
1 0
0 6469
0 0
0 3400
0 0
0 0
0 4851
0 0
0 6931
0 0
0 0
54 14670
462 0
1151 10663
1923 0
2502 0
3167 0
3636 8455
3884 0
4354 0
4634 0
4811 13906
5342 0
5675 0
5443 0
4879 0
4214 0
3916 17338
3964 0
3873 0
3277 11746
2357 0
2309 9941
2015 0
1666 0
1902 4232
2094 1447
2366 0
2798 5128
2821 4409
2401 0
2151 0
2539 2783
2526 1798
2149 0
1480 0
1100 3316
845 0
680 0
594 1312
472 186
415 175
451 0
668 1520
445 0
485 2251
1535 0
1666 1996
946 0
1960 0
2387 1177
1996 0
1818 0
1727 144
2161 3244
2102 0
1219 1511
504 577
208 0
173 1303
170 0
99 303
9 0
53 578
183 496
55 44
25 0
19 0
19 796
86 0
321 0
528 941
1202 0
1994 0
2921 76
3075 1
2482 3
2815 0
4231 106
4618 160
4465 0
4060 0
3690 639
3670 0
3167 62
2297 0
1800 0
1273 0
252 0
6 18
37 0
255 0
384 10
571 0
821 0
886 0
778 0
384 248
57 0
1 217
0 34
6 0
4 4
0 0
7 7
13 0
0 0
6 0
22 5
66 0
121 48
88 0
5 12
0 1013
0 0
0 1409
0 0
0 493
0 552
0 0
0 0
0 3936
0 360
0 0
0 303
0 332
0 0
0 2122
0 0
0 0
0 6669
0 1048
0 0
0 800
0 899
71 0
299 7708
531 0
1541 2328
2079 0
2660 10405
3215 0
3724 3732
4356 3882
4786 3618
5162 6632
5433 0
5337 5864
4543 0
3743 3986
2919 889
2252 2759
2288 0
2289 703
2486 901
2692 932
2962 0
3276 6244
4070 0
4016 0
3514 5405
3804 0
3125 0
1154 0
982 8995
2225 0
3096 6789
3287 0
4261 0
2963 15222
1362 0
616 5565
1126 0
739 4643
2513 3795
685 4625
395 1462
1698 2565
1781 0
1515 13207
2506 0
1423 4894
1737 9247
4194 0
3528 0
2199 8993
2514 0
1778 0
1954 7483
2986 928
2869 0
1597 2641
1175 1409
138 0
358 3001
1346 0
1888 10933
1259 0
1175 2660
2550 2554
1994 2789
1460 3223
1057 8514
1362 5156
2381 4421
3180 0
2343 4433
1034 0
365 1244
198 3012
600 0
1917 3850
1176 1416
310 0
790 0
594 6849
14 0
1055 0
2008 4105
1611 0
402 0
644 0
1959 6679
2546 0
2970 724
3086 34
3545 0
3854 0
3801 971
3820 191
3417 0
3189 0
2846 0
1102 4453
135 0
1903 1012
2846 1635
3518 2864
3787 7429
4095 0
4832 0
4752 8127
3980 0
3306 1117
1969 0
375 5387
962 0
1459 0
1395 6148
1260 0
1351 9591
769 0
169 4228
210 4130
39 3891
404 7126
813 4139
688 0
624 0
444 0
9 13967
4 0
223 0
597 11690
677 0
294 0
163 0
66 9700
185 0
167 6969
124 2131
48 0
3 3177
0 217
0 0
15 0
167 1256
119 0
3 2050
0 0
0 716
22 0
153 4348
122 825
51 0
67 0
6 3062
0 0
2 407
104 332
415 0
315 0
210 3655
69 0
58 1279
20 0
1 0
0 2310
0 267
0 0
0 733
0 0
0 0
0 403
0 57
0 213
2 0
2 0
1 83
2 0
0 0
0 0
0 470
0 179
0 0
1 0
3 2511
16 0
0 431
0 535
0 680
1 0
0 0
0 4362
0 551
0 0
0 0
38 3575
165 0
4 0
111 1859
68 0
47 2479
4 0
0 0
0 5178
0 4987
1 0
5 0
6 0
0 6084
0 3152
0 0
0 6054
0 0
0 5534
0 0
0 5412
0 0
0 1681
0 0
0 0
0 4560
0 1920
0 2246
0 0
0 0
0 0
0 0
0 14032
0 0
0 4249
0 1255
0 0
2 0
208 5837
870 0
1172 3084
1182 0
759 1140
148 836
78 0
757 4376
1280 0
1825 0
2648 6771
3249 0
3791 1379
4483 5947
4138 0
3251 0
1829 1102
162 3392
1101 0
1988 2419
2651 0
3421 0
3880 4276
3648 0
2996 3276
2040 0
757 0
13 0
861 8698
2251 0
2866 2425
2559 0
1661 580
659 518
233 470
844 335
1454 0
1959 2585
2275 305
2350 0
1898 0
1262 2008
784 0
649 109
735 615
1089 0
1209 0
1283 0
1430 0
1484 1833
1586 548
1823 214
1717 311
1993 427
1956 0
1283 507
813 0
410 2200
121 0
2 547
2 0
37 1308
119 302
205 0
255 0
230 0
132 1414
54 0
33 578
10 239
7 286
5 345
8 268
32 194
41 0
18 0
35 0
106 2376
86 0
95 0
137 4663
134 0
143 1378
284 0
623 0
1040 5243
1432 0
1463 656
1298 395
1169 648
1034 0
781 0
491 6126
231 0
34 0
1 5966
0 0
0 0
0 1806
1 0
2 0
1 1939
0 0
0 1648
0 2606
1 0
5 2300
5 0
6 5657
15 0
50 2469
94 5719
218 0
301 551
460 197
322 0
115 2065
14 178
5 0
15 135
23 121
14 255
5 0
0 865
0 51
0 44
0 294
0 944
0 1730
0 2809
0 0
0 4389
0 2574
0 1680
0 1305
0 0
0 0
0 0
0 7313
0 0
0 740
0 223
0 253
0 221
0 654
0 0
0 151
0 15
0 0
0 0
0 822
0 0
85 0
139 0
131 0
57 1039
67 992
468 37
1462 0
2351 0
2826 478
2772 154
2325 1022
1426 184
663 188
890 1844
1958 0
2746 0
3167 0
3093 3376
2836 0
2048 0
738 113
1907 15
3602 0
4459 0
4459 0
3960 6
2728 138
1140 1535
2422 0
3474 0
3938 4045
3402 589
2634 0
1607 1907
470 334
615 0
935 2433
847 1329
484 0
636 4180
726 1706
553 1713
364 0
169 5439
80 0
24 3236
0 0
85 0
200 5457
280 3401
1054 0
1369 3970
1580 9438
1817 5229
1987 5204
2245 4850
2598 3486
2980 0
3239 9000
3234 0
