ID,condition,Dyad,A_or_B,gender,familiar,familiar_group,gender_group,cq,ts,tp,X,profile,maxrec,maxlag
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-150,0.304678363,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-149,0.298577275,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-148,0.296570538,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-147,0.297097214,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-146,0.303467082,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-145,0.304576436,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-144,0.305880062,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-143,0.30367919,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-142,0.303814714,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-141,0.306090679,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-140,0.303891051,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-139,0.30013616,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-138,0.304356282,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-137,0.305074859,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-136,0.303265941,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-135,0.299708455,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-134,0.303925379,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-133,0.29823198,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-132,0.302447552,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-131,0.306273063,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-130,0.31184466,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-129,0.309842749,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-128,0.314440994,0.35871017,112
